Date,SP,Marker,Nests,Left Tag,Rigth Tag,Nº Nido,NORTE ,ESTE,,,
2021-09-16,Ei,Gundula,N,,,DB116Ei,---,---,,,
2021-09-23,Ei,3,N,,,DB117Ei,9.42842,-82.31718,,,
2021-09-26,Ei,Gundula,N,,,DB118Ei,9.43167,-82.30357,,,
2021-09-28,Ei,10,N,,,DB119Ei,9.42791,-82.31091,,,
2021-10-10,Ei,Gundula,N,,,DB120Ei,9.42819,-82.31530,,,
2021-10-12,Ei,8,N,,,DB121Ei,9.42798,-82.31239,,,
2021-10-22,Ei,2,N,,,DB122Ei,9.42860,-82.31800,,,
2021-11-24,Ei,Gundula,N,,,DB123Ei,9.43167,-82.30291,,,
2022-05-07,Ei,2,N,CH11753,CH11754,DB001Ei,09.42866,82.31823,,,
2022-05-15,Ei,Gundula,N,,,DB002Ei,09.43164,82.30343,,,
2022-05-16,Ei,Paul,N,,,DB003Ei,09.43164,82.30022,,,
2022-05-21,Ei,6,N,,,DB004Ei,09.42835,82.31435,,,
2022-05-21,Ei,4,N,,,DB005Ei,09.42837,82.31677,,,
2022-05-21,Ei,Gundula,N,,,DB006Ei,09.43159,82.30340,,,
2022-05-22,Ei,1,N,,,DB007Ei,09.42884,82.31924,,,
2022-05-26,Ei,Gundula,N,,,DB009Ei,09.43167,82.30300,,,
2022-05-27,Ei,3,N,CH11757,CH11758,DB008Ei,09.42846,82.31728,,,
2022-05-28,Ei,1,N,,,DB010Ei,09.42885,82.31931,,,
2022-05-29,Ei,5,N,CH11761,CH11762,DB011Ei,09.42829,82.31579,,,
2022-05-29,Ei,3,N,,,DB012Ei,09.42843,82.31721,,,
2022-05-30,Ei,7,N,,,DB013Ei,09.42835,82.31417,,,
2022-05-30,Ei,6,N,,,,,,,,
2022-06-01,Ei,Gundula,N,,,DB014Ei,09.43157,82.30372,,,
2022-06-01,Ei,Gundula,N,,,DB015Ei,09.43162,82.30352,,,
2022-06-01,Ei,Gundula,N,,,DB016Ei,09.43164,82.30341,,,
2022-06-02,Ei,Gundula,N,,,DB017Ei,09.43159,82.30328,,,
2022-06-06,Ei,2,N,CH11763,,DB0018Ei,09.42873,82.31863,,,
2022-06-08,Ei,Gundula,N,,,DB019Ei,09.43150,82.30393,,,
2022-06-08,Ei,Gundula,N,,,DB020Ei,09.43170,82.30286,,,
2022-06-08,Ei,Gundula,N,,,DB021Ei,09.43164,82.30331,,,
2022-06-08,Ei,Gundula,N,,,DB022Ei,09.43166,82.30309,,,
2022-06-09,Ei,2,N,,,DB023Ei,09.42871,82.31863,,,
2022-06-10,Ei,6,N,,,DB024Ei,09.42827,82.31501,,,
2022-06-11,Ei,6,N,,,DB025Ei,09.42829,82.31475,,,
2022-06-11,Ei,Gundula,N,,,DB026Ei,09.43155,82.30374,,,
2022-06-17,Ei,Gundula,N,,,DB027Ei,09.43161,82.30341,,,
2022-06-17,Ei,Gundula,N,,,DB028Ei,09.43153,82.30384,,,
2022-06-17,Ei,Gundula,N,,,DB029Ei,09.43162,82.30336,,,
2022-06-17,Ei,9,N,,,DB030Ei,09.42798,82.31153,,,
2022-06-17,Ei,2,N,,,DB031Ei,09.42865,82.31823,,,
2022-06-20,Ei,2,N,,,DB032Ei,09.42870,82.31875,,,
2022-06-20,Ei,Gundula,N,,,DB033Ei,09.43169,82.30297,,,
2022-06-20,Ei,Gundula,N,,,DB034Ei,09.43161,82.30357,,,
2022-06-20,Ei,Gundula,N,,,DB035Ei,09.43146,82.30399,,,
2022-06-20,Ei,Gundula,N,,,DB036Ei,,,,,
2022-06-21,Ei,Gundula,N,,,DB037Ei,,,,,
2022-06-21,Ei,9,N,,,DB038Ei,09.42796,82.31227,,,
2022-06-21,Ei,8,N,,,DB039Ei,09.42798,82.31293,,,
2022-06-22,Ei,5,N,,,DB040Ei,09.42829,82.31538,,,
2022-06-23,Ei,Gundula,N,,,DB041Ei,09.43164,82.30329,,,
2022-06-23,Ei,8,N,,,DB042Ei,09.42801,82.31294,,,
2022-06-24,Ei,5,N,,,DB043Ei,09.42829,82.31594,,,
2022-06-25,Ei,1,N,,,DB044Ei,09.42876,82.31908,,,
2022-06-25,Ei,9,N,,,DB045Ei,09.42795,82.31200,,,
2022-06-26,Ei,6,N,,,DB046Ei,09.42838,82.31430,,,
2022-06-27,Ei,Gundula,N,,,DB047Ei,09.43157,82.30367,,,
2022-06-28,Ei,Gundula,N,,,DB048Ei,09.43163,82.30334,,,
2022-06-28,Ei,Gundula,N,,,DB049Ei,09.43169,82.30300,,,
2022-06-30,Ei,1,N,,,DB050Ei,09.42903,82.31947,,,
2022-07-02,Ei,2,N,,,DB051Ei,09.42864,82.31824,,,
2022-07-02,Ei,7,N,,,DB052Ei,09.42831,82.31386,,,
2022-07-03,Ei,Gundula,N,,,DB053Ei,,,,,
2022-07-03,Ei,Gundula,N,,,DB054Ei,09.43152,82.30390,,,
2022-07-04,Ei,Gundula,N,,,DB055Ei,09.43160,82.30353,,,
2022-07-05,Ei,13,N,,,DB056Ei,09.42824,82.30839,,,
2022-07-05,Ei,8,N,,,DB057Ei,09.42797,82.31263,,,
2022-07-07,Ei,Gundula,N,,,DB058Ei,,,,,
2022-07-08,Ei,1,N,,,DB059Ei,09.42886,82.31924,,,
2022-07-08,Ei,1,N,,,DB060Ei,09.42872,82.31895,,,
2022-07-08,Ei,4,N,,,DB061Ei,09.42839,82.31693,,,
2022-07-08,Ei,8,N,,,DB062Ei,09.42810,82.31322,,,
2022-07-10,Ei,10,N,,,DB071Ei,09.42794,82.31175,,,
2022-07-10,Ei,Gundula,N,,,DB063Ei,09.43152,82.30393,,,
2022-07-12,Ei,10,N,,,DB070Ei,09.42789,82.31090,,,
2022-07-13,Ei,10,N,,,DB072Ei,09.42790,82.31079,,,
2022-07-13,Ei,Gundula,N,,,DB073Ei,09.43167,82.30331,,,
2022-07-14,Ei,8,N,,,DB064Ei,09.42797,82.31261,,,
2022-07-14,Ei,4,N,,,DB065Ei,09.42828,82.31603,,,
